913
78.00	88.00	83.00	89.00	73.00	71.00	3.79
89.00	87.00	86.00	84.00	81.00	58.00	3.79
87.00	85.00	57.00	78.00	97.00	50.00	3.50
60.00	70.00	79.00	89.00	83.00	69.00	3.58
92.00	80.00	78.00	72.00	56.00	63.00	3.50
76.00	74.00	78.00	87.00	68.00	9.00	0.00
923
797.00	97.00	97.00	75.00	48.00	98.00	3.67
69.00	70.00	40.00	60.00	67.00	79.00	3.13
89.00	80.00	78.00	69.00	78.00	86.00	3.79
86.00	59.00	95.00	78.00	69.00	90.00	3.63
78.00	69.00	94.00	81.00	59.00	89.00	3.63
56.00	78.00	59.00	89.00	60.00	89.00	3.38
